time_s,lat_deg,lon_deg,alt_m
15.074513514,47.3979603,8.5461664,48.62821948941861
15.094341012,47.3979598,8.5461658,48.59522009151078
15.113681404,47.3979594,8.5461654,48.57322046154484
15.133927346,47.3979589,8.5461648,48.5382210636413
15.15445286,47.3979586,8.5461644,48.51522148072094
15.154953362,47.3979581,8.5461685,47.93121552390237
15.174614401,47.3979581,8.5461637,48.481222222372516
15.194879198,47.3979578,8.5461632,48.459222779005465
15.214335558,47.3979573,8.5461622,48.42222393931368
15.2337423,47.397957,8.5461616,48.39822463549916
15.254751174,47.3979566,8.5461607,48.36322570329813
15.274017509,47.3979563,8.54616,48.34022653903536
15.28151284,47.3979589,8.5461635,47.95022287781189
15.294227903,47.3979559,8.5461591,48.30722760683521
15.314382495,47.3979557,8.5461586,48.28522821051064
15.334365478,47.3979554,8.5461577,48.252229325349774
15.35398256,47.3979552,8.5461571,48.2302300685758
15.374582992,47.397955,8.5461562,48.19823123045304
15.394351986,47.3979548,8.5461557,48.17723183412836
15.405964454,47.3979572,8.5461618,48.475224450477675
15.414322876,47.3979546,8.546155,48.14623271690438
15.43423625,47.3979544,8.5461546,48.1252331810295
15.454659703,47.3979543,8.546154,48.09523397129291
15.474546395,47.3979542,8.5461537,48.0762343429056
15.494929299,47.397954,8.5461534,48.04723466748075
15.514997369,47.397954,8.5461531,48.028235086131026
15.528203992,47.3979538,8.5461606,47.87622452579418
15.534371751,47.3979538,8.5461529,48.00023527115627
15.554006284,47.3979537,8.5461527,47.98123550321905
15.575100009,47.3979536,8.5461526,47.953235595731876
15.594828614,47.3979536,8.5461527,47.93323545618191
15.613987552,47.3979535,8.5461528,47.90423526959498
15.633960311,47.3979534,8.5461529,47.88423508300825
15.653972979,47.3979533,8.5461531,47.854234756871776
15.654368806,47.3979555,8.5461591,47.34422741868003
15.675164397,47.3979533,8.5461533,47.833234477771924
15.694571354,47.3979532,8.5461536,47.812234012085824
15.714124282,47.3979532,8.546154,47.804233453886155
15.733535789,47.3979531,8.5461545,47.79123270910051
15.753648009,47.3979531,8.5461549,47.78723215090084
15.774237849,47.3979531,8.5461553,47.79423159270105
15.78207541,47.3979544,8.5461609,47.93222438935881
15.795120268,47.397953,8.5461551,47.84823182476531
15.814221229,47.397953,8.5461549,47.925232103865156
15.83433302,47.397953,8.5461548,47.97923224341504
15.853777222,47.397953,8.5461546,48.05523252251486
15.87470126,47.397953,8.5461545,48.104232662064746
15.894587205,47.397953,8.5461543,48.17223294116454
15.906113327,47.3979517,8.5461569,47.85622870142243
15.913824109,47.3979531,8.5461542,48.215233127750274
15.933786934,47.3979531,8.546154,48.2742334068501
15.95369818,47.3979531,8.5461538,48.311233685949894
15.97504173,47.3979531,8.5461536,48.361233965049685
15.994921607,47.3979531,8.5461535,48.3912341045996
16.014060157,47.3979531,8.5461533,48.43223438369934
16.028129882,47.3979578,8.546156,47.39423282669053
16.034265558,47.3979531,8.5461532,48.456234523249215
16.054410404,47.3979531,8.546153,48.490234802348986
16.074094448,47.3979531,8.5461529,48.508234941898834
16.094437352,47.3979531,8.5461527,48.53223522099857
16.113943095,47.3979531,8.5461526,48.54523536054843
16.133938598,47.3979531,8.5461524,48.56023563964814
16.153877271,47.3979531,8.5461522,48.567235918747876
16.15420046,47.3979569,8.5461583,48.47322919364147
16.175436213,47.3979531,8.546152,48.57323619784756
16.194306603,47.3979531,8.5461519,48.57323633739738
16.213285016,47.3979531,8.5461514,48.57223703514651
16.236142383,47.3979531,8.5461511,48.56823745379596
16.254259523,47.397953,8.5461507,48.5592379649585
16.274316438,47.397953,8.5461505,48.550238244058036
16.281412336,47.3979533,8.5461575,48.48622861667207
16.294592814,47.397953,8.5461501,48.534238802257114
16.314223819,47.397953,8.5461499,48.522239081356624
16.333488759,47.3979531,8.5461499,48.494239128393474
16.354178509,47.3979532,8.5461499,48.472239175430495
16.374290148,47.3979533,8.5461499,48.43823922246766
16.395066524,47.3979534,8.5461499,48.41423926950496
16.40184729,47.3979544,8.5461574,47.86722927362187
16.413870984,47.3979535,8.54615,48.37623917699255
16.433797591,47.3979536,8.54615,48.35123922403017
16.454126953,47.3979538,8.5461501,48.31023917855589
16.474226188,47.3979539,8.5461502,48.28223908604396
16.494751178,47.3979542,8.5461503,48.239239087608915
16.514028627,47.3979543,8.5461504,48.209238995097444
16.527830439,47.3979568,8.5461554,47.89623319357564
16.533866063,47.3979545,8.5461505,48.163238949624954
16.554267663,47.3979547,8.5461506,48.132238904153034
16.575009749,47.3979549,8.5461508,48.08523871913135
16.594429244,47.3979551,8.5461509,48.05323867366039
16.613887571,47.3979555,8.546151,48.00423872227038
16.634049415,47.3979557,8.5461511,47.971238676801015
16.654207951,47.397956,8.5461513,47.92223853882271
16.654629895,47.3979575,8.5461584,47.99622933633815
16.674490685,47.3979562,8.5461514,47.89023849335463
16.693286915,47.3979565,8.5461516,47.85723835537817
16.713221745,47.3979567,8.5461517,47.855238309911364
16.734005977,47.397957,8.5461518,47.853238311487495
16.753758099,47.3979572,8.5461519,47.851238266021994
16.773697121,47.3979575,8.5461521,47.849238128049315
16.781537395,47.3979574,8.5461562,46.854232359418816
16.794436899,47.3979577,8.5461522,47.846238082585096
16.814179003,47.397958,8.5461524,47.843237944614266
16.83443293,47.3979582,8.5461526,47.84123775960028
16.854357002,47.3979585,8.5461529,47.83923748208011
16.874588746,47.3979587,8.546153,47.83723743661833
16.89491598,47.397959,8.5461533,47.83423715909978
16.901521581,47.3979548,8.5461585,47.94422792671714
16.913870961,47.3979591,8.5461535,47.831236927042546
16.933971442,47.3979593,8.5461538,47.838236602479505
16.954309842,47.3979595,8.5461539,47.84223655701955
16.974202859,47.3979596,8.5461542,47.846236185411236
16.994944758,47.3979597,8.5461544,47.849235953354345
17.014151219,47.3979598,8.5461546,47.85123572129754
17.026182327,47.3979596,8.5461593,47.479229068284255
17.033091656,47.3979599,8.5461548,47.852235489240734
17.05429006,47.39796,8.5461551,47.85223511763245
17.074380181,47.3979601,8.5461553,47.85123488557571
17.094832502,47.3979602,8.5461556,47.84723451396743
17.113795438,47.3979603,8.5461559,47.84423414235912
17.134582268,47.3979604,8.5461562,47.840233770750835
17.154761624,47.3979605,8.5461564,47.83723353869423
17.15511105,47.3979605,8.5461585,47.914230608107616
17.174326969,47.3979606,8.5461567,47.832233167085896
17.194994272,47.3979607,8.5461569,47.83023293502934
17.214639263,47.3979607,8.5461572,47.83323251637401
17.233846044,47.3979608,8.5461574,47.83523228431741
17.254492118,47.3979608,8.5461577,47.83823186566199
17.273964064,47.3979609,8.5461579,47.84023163360535
17.281476987,47.3979573,8.5461593,47.813227986295644
17.294583864,47.3979609,8.5461581,47.842231354501635
17.314106342,47.3979609,8.5461583,47.84423107539792
17.333818307,47.397961,8.5461585,47.8472308433412
17.354506571,47.397961,8.5461586,47.849230703789296
17.374069735,47.397961,8.5461588,47.85323042468553
17.394178539,47.397961,8.5461589,47.855230285133594
17.405460792,47.3979584,8.5461583,47.35522989927126
17.413841839,47.397961,8.5461591,47.85823000602979
17.433901398,47.397961,8.5461592,47.8592298664779
17.454062751,47.3979609,8.5461593,47.86122967987911
17.474927152,47.3979609,8.5461593,47.86122967987911
17.494878768,47.3979609,8.5461594,47.86222954032724
17.514151326,47.3979609,8.5461595,47.86222940077534
17.52808307,47.3979606,8.5461595,47.92922925963589
17.535063607,47.3979609,8.5461595,47.86322940077534
17.554157543,47.3979609,8.5461596,47.86322926122344
17.574408164,47.3979609,8.5461596,47.864229261223436
17.594972089,47.3979608,8.5461596,47.86422921417681
17.614062929,47.3979608,8.5461596,47.865229214176814
